"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C20 H41 O5 N1",374.2915925,"N1 O5","CHON","Lipid",20,41,5,1,0,0,2.05,2.05,1,-0.1515,-1.4,100.2
"C21 H46 O2 N1 P1",374.3198025,"N1 P1 O2","CHONP","Lipid",21,46,2,1,0,1,2.19,2.19,0,-0.1667,-1.8571,113.22735
"C19 H9 O3 N2 P1 S1",375.0000302,"N2 S1 P1 O3","CHO","Cond Hydrocarbon",19,9,3,2,1,1,0.47,0.47,17,0.8519,0.2632,52.7988
"C14 H17 O10 P1",375.0491247,"P1 O10","CHOP","Tannin",14,17,10,0,0,1,1.21,1.21,7,0.125,0.2143,54.19245
"C18 H16 O9",375.0724413,"O9","CHO","Lignin",18,16,9,0,0,0,0.89,0.89,11,0.4815,0.1111,57.13365
"C15 H20 O9 S1",375.0758268,"S1 O9","CHOS","Lignin",15,20,9,0,1,0,1.33,1.33,6,0.0526,0,60.3
"C15 H21 O9 P1",375.0855102,"P1 O9","CHOP","Lignin",15,21,9,0,0,1,1.4,1.4,6,0.0526,-0.2,66
"C15 H20 O11",375.093573,"O11","CHO","Other",15,20,11,0,0,0,1.33,1.33,6,0.0526,0.1333,56.50095
"C19 H20 O8",375.1088359,"O8","CHO","Lignin",19,20,8,0,0,0,1.05,1.05,10,0.4,-0.2105,66.29925
"C18 H20 O7 N2",375.12002,"N2 O7","CHON","Lignin",18,20,7,2,0,0,1.11,1.11,10,0.36,0,60.3
"C16 H25 O8 P1",375.1218956,"P1 O8","CHOP","Protein",16,25,8,0,0,1,1.56,1.56,5,0,-0.5625,76.33125
"C16 H24 O10",375.1299661,"O10","CHO","Amino Sugar",16,24,10,0,0,0,1.5,1.5,5,0,-0.25,67.425
"C20 H24 O7",375.1452243,"O7","CHO","Lignin",20,24,7,0,0,0,1.2,1.2,9,0.3333,-0.5,74.55
"C19 H24 O6 N2",375.1564548,"N2 O6","CHON","Lignin",19,24,6,2,0,0,1.26,1.26,9,0.2857,-0.3158,69.3003
"C17 H29 O7 P1",375.1582889,"P1 O7","CHOP","Protein",17,29,7,0,0,1,1.71,1.71,4,-0.04,-0.8824,85.4484
"C17 H28 O9",375.1663515,"O9","CHO","Protein",17,28,9,0,0,0,1.65,1.65,4,-0.04,-0.5882,77.0637
"C16 H29 O6 N2 P1",375.169518,"N2 P1 O6","CHONP","Protein",16,29,6,2,0,1,1.81,1.81,4,-0.2,-0.6875,79.89375
"C21 H28 O6",375.1816019,"O6","CHO","Lignin",21,28,6,0,0,0,1.33,1.33,8,0.2778,-0.7619,82.01415
"C18 H33 O6 P1",375.1946675,"P1 O6","CHOP","Protein",18,33,6,0,0,1,1.83,1.83,3,-0.0714,-1.1667,93.55095
"C18 H32 O8",375.2027329,"O8","CHO","Protein",18,32,8,0,0,0,1.78,1.78,3,-0.0714,-0.8889,85.63365
"C22 H32 O5",375.217993,"O5","CHO","Other",22,32,5,0,0,0,1.45,1.45,7,0.2308,-1,88.8
"C19 H36 O7",375.2391582,"O7","CHO","Protein",19,36,7,0,0,0,1.89,1.89,2,-0.0968,-1.1579,93.30015
"C21 H45 O3 P1",375.30383,"P1 O3","CHOP","Lipid",21,45,3,0,0,1,2.14,2.14,0,-0.1351,-1.8571,113.22735
"C14 H19 O11 N1",376.0888637,"N1 O11","CHON","Other",14,19,11,1,0,0,1.36,1.36,6,-0.0667,0.4286,48.0849
"C10 H23 O10 N3 S1",376.1036028,"N3 S1 O10","CHONS","Other",10,23,10,3,1,0,2.3,2.3,1,-8,0.8,37.5
"C15 H23 O10 N1",376.1252299,"N1 O10","CHON","Amino Sugar",15,23,10,1,0,0,1.53,1.53,5,-0.1111,0,60.3
"C14 H24 O7 N3 P1",376.128381,"N3 P1 O7","CHONP","Protein",14,24,7,3,0,1,1.71,1.71,5,-0.3846,-0.0714,62.3349
"C19 H23 O7 N1",376.140449,"N1 O7","CHON","Lignin",19,23,7,1,0,0,1.21,1.21,9,0.3103,-0.3158,69.3003
"C16 H27 O9 N1",376.1616109,"N1 O9","CHON","Amino Sugar",16,27,9,1,0,0,1.69,1.69,4,-0.1429,-0.375,70.9875
"C15 H27 O8 N3",376.1728631,"N3 O8","CHON","Protein",15,27,8,3,0,0,1.8,1.8,4,-0.375,-0.1333,64.09905
"C17 H32 O6 N1 P1",376.1898895,"N1 P1 O6","CHONP","Protein",17,32,6,1,0,1,1.88,1.88,3,-0.1667,-1,88.8
"C17 H31 O8 N1",376.1980422,"N1 O8","CHON","Protein",17,31,8,1,0,0,1.82,1.82,3,-0.1667,-0.7059,80.41815
"C18 H35 O7 N1",376.2343851,"N1 O7","CHON","Protein",18,35,7,1,0,0,1.94,1.94,2,-0.1852,-1,88.8
"C20 H43 O5 N1",376.3071757,"N1 O5","CHON","Lipid",20,43,5,1,0,0,2.15,2.15,0,-0.2121,-1.5,103.05
"C19 H6 O5 S2",376.9587762,"S2 O5","CHOS","Cond Hydrocarbon",19,6,5,0,2,0,0.32,0.32,17,0.8621,0.4211,48.29865
"C20 H10 O4 S2",376.9952391,"S2 O4","CHOS","Cond Hydrocarbon",20,10,4,0,2,0,0.5,0.5,16,0.75,0.1,57.45
"C10 H18 O11 S2",377.0219632,"S2 O11","CHOS","Other",10,18,11,0,2,0,1.8,1.8,2,-2.2,0.8,37.5
"C17 H14 O10",377.0516836,"O10","CHO","Lignin",17,14,10,0,0,0,0.82,0.82,11,0.5,0.3529,50.24235
"C14 H19 O10 P1",377.0647836,"P1 O10","CHOP","Other",14,19,10,0,0,1,1.36,1.36,6,0,0.0714,58.2651
"C11 H23 O12 P1",377.085911,"P1 O12","CHOP","Other",11,23,12,0,0,1,2.09,2.09,1,-1.5,0.0909,57.70935
"C18 H18 O9",377.0880984,"O9","CHO","Lignin",18,18,9,0,0,0,1,1,10,0.4074,0,60.3
"C15 H22 O9 S1",377.091495,"S1 O9","CHOS","Amino Sugar",15,22,9,0,1,0,1.47,1.47,5,-0.0526,-0.1333,64.09905
"C17 H18 O8 N2",377.0993012,"N2 O8","CHON","Lignin",17,18,8,2,0,0,1.06,1.06,10,0.3636,0.2353,53.59395
"C15 H23 O9 P1",377.1011614,"P1 O9","CHOP","Amino Sugar",15,23,9,0,0,1,1.53,1.53,5,-0.0526,-0.3333,69.79905
"C19 H22 O8",377.1244856,"O8","CHO","Lignin",19,22,8,0,0,0,1.16,1.16,9,0.3333,-0.3158,69.3003
"C18 H22 O7 N2",377.135691,"N2 O7","CHON","Lignin",18,22,7,2,0,0,1.22,1.22,9,0.28,-0.1111,63.46635
"C16 H27 O8 P1",377.1375507,"P1 O8","CHOP","Protein",16,27,8,0,0,1,1.69,1.69,4,-0.0909,-0.6875,79.89375
"C16 H26 O10",377.1456233,"O10","CHO","Amino Sugar",16,26,10,0,0,0,1.62,1.62,4,-0.0909,-0.375,70.9875
"C20 H26 O7",377.1608736,"O7","CHO","Lignin",20,26,7,0,0,0,1.3,1.3,8,0.2727,-0.6,77.4
"C17 H31 O7 P1",377.173932,"P1 O7","CHOP","Protein",17,31,7,0,0,1,1.82,1.82,3,-0.12,-1,88.8
"C17 H30 O9",377.1819959,"O9","CHO","Protein",17,30,9,0,0,0,1.76,1.76,3,-0.12,-0.7059,80.41815
"C21 H30 O6",377.1972506,"O6","CHO","Lignin",21,30,6,0,0,0,1.43,1.43,7,0.2222,-0.8571,84.72735
"C18 H35 O6 P1",377.2103181,"P1 O6","CHOP","Protein",18,35,6,0,0,1,1.94,1.94,2,-0.1429,-1.2778,96.7173
"C18 H34 O8",377.2183945,"O8","CHO","Protein",18,34,8,0,0,0,1.89,1.89,2,-0.1429,-1,88.8
"C22 H34 O5",377.2336192,"O5","CHO","Other",22,34,5,0,0,0,1.55,1.55,6,0.1795,-1.0909,91.39065
"C19 H39 O5 P1",377.2467019,"P1 O5","CHOP","Lipid",19,39,5,0,0,1,2.05,2.05,1,-0.1613,-1.5263,103.79955
"C18 H39 O4 N2 P1",377.2579398,"N2 P1 O4","CHONP","Lipid",18,39,4,2,0,1,2.17,2.17,1,-0.3077,-1.3889,99.88365
"C13 H17 O12 N1",378.0681408,"N1 O12","CHON","Other",13,17,12,1,0,0,1.31,1.31,6,-0.1667,0.7692,38.3778
"C17 H17 O9 N1",378.0833466,"N1 O9","CHON","Lignin",17,17,9,1,0,0,1,1,10,0.3913,0.2353,53.59395
"C14 H22 O9 N1 P1",378.0964068,"N1 P1 O9","CHONP","Amino Sugar",14,22,9,1,0,1,1.57,1.57,5,-0.2,-0.0714,62.3349
"C14 H21 O11 N1",378.1044953,"N1 O11","CHON","Carbohydrate",14,21,11,1,0,0,1.5,1.5,5,-0.2,0.2857,52.15755
"C18 H21 O8 N1",378.1197319,"N1 O8","CHON","Lignin",18,21,8,1,0,0,1.17,1.17,9,0.3077,-0.1111,63.46635
"C15 H26 O8 N1 P1",378.1327955,"N1 P1 O8","CHONP","Protein",15,26,8,1,0,1,1.73,1.73,4,-0.2222,-0.4667,73.60095
"C15 H25 O10 N1",378.1408665,"N1 O10","CHON","Amino Sugar",15,25,10,1,0,0,1.67,1.67,4,-0.2222,-0.1333,64.09905
"C19 H25 O7 N1",378.1560957,"N1 O7","CHON","Lignin",19,25,7,1,0,0,1.32,1.32,8,0.2414,-0.4211,72.30135
"C18 H25 O6 N3",378.1673511,"N3 O6","CHON","Lignin",18,25,6,3,0,0,1.39,1.39,8,0.1667,-0.2222,66.6327
"C16 H29 O9 N1",378.1772644,"N1 O9","CHON","Other",16,29,9,1,0,0,1.81,1.81,3,-0.2381,-0.5,74.55
"C17 H33 O8 N1",378.2136444,"N1 O8","CHON","Protein",17,33,8,1,0,0,1.94,1.94,2,-0.25,-0.8235,83.76975
"C18 H37 O7 N1",378.250043,"N1 O7","CHON","Other",18,37,7,1,0,0,2.06,2.06,1,-0.2593,-1.1111,91.96635
"C17 H37 O6 N3",378.2612799,"N3 O6","CHON","Other",17,37,6,3,0,0,2.18,2.18,1,-0.4545,-0.9412,87.1242
"C19 H42 O4 N1 P1",378.278335,"N1 P1 O4","CHONP","Lipid",19,42,4,1,0,1,2.21,2.21,0,-0.2667,-1.6316,106.8006
"C17 H16 O10",379.0673631,"O10","CHO","Lignin",17,16,10,0,0,0,0.94,0.94,10,0.4167,0.2353,53.59395
"C14 H21 O10 P1",379.0804273,"P1 O10","CHOP","Carbohydrate",14,21,10,0,0,1,1.5,1.5,5,-0.125,-0.0714,62.3349
"C18 H21 O7 P1",379.0956518,"P1 O7","CHOP","Lignin",18,21,7,0,0,1,1.17,1.17,9,0.3333,-0.3889,71.38365
"C11 H25 O12 P1",379.1015614,"P1 O12","CHOP","Other",11,25,12,0,0,1,2.27,2.27,0,-1.75,-0.0909,62.89065
"C18 H20 O9",379.1037485,"O9","CHO","Lignin",18,20,9,0,0,0,1.11,1.11,9,0.3333,-0.1111,63.46635
"C17 H20 O8 N2",379.1149741,"N2 O8","CHON","Lignin",17,20,8,2,0,0,1.18,1.18,9,0.2727,0.1176,56.9484
"C15 H25 O9 P1",379.1168154,"P1 O9","CHOP","Amino Sugar",15,25,9,0,0,1,1.67,1.67,4,-0.1579,-0.4667,73.60095
"C19 H25 O6 P1",379.1320763,"P1 O6","CHOP","Lignin",19,25,6,0,0,1,1.32,1.32,8,0.2667,-0.6842,79.7997
"C19 H24 O8",379.1401341,"O8","CHO","Lignin",19,24,8,0,0,0,1.26,1.26,8,0.2667,-0.4211,72.30135
"C16 H29 O8 P1",379.1531978,"P1 O8","CHOP","Protein",16,29,8,0,0,1,1.81,1.81,3,-0.1818,-0.8125,83.45625
"C16 H28 O10",379.1612788,"O10","CHO","Amino Sugar",16,28,10,0,0,0,1.75,1.75,3,-0.1818,-0.5,74.55
"C20 H28 O7",379.1765216,"O7","CHO","Lignin",20,28,7,0,0,0,1.4,1.4,7,0.2121,-0.7,80.25
"C17 H33 O7 P1",379.1895869,"P1 O7","CHOP","Protein",17,33,7,0,0,1,1.94,1.94,2,-0.2,-1.1176,92.1516
"C21 H32 O6",379.2129164,"O6","CHO","Other",21,32,6,0,0,0,1.52,1.52,6,0.1667,-0.9524,87.4434
"C18 H37 O6 P1",379.2259701,"P1 O6","CHOP","Other",18,37,6,0,0,1,2.06,2.06,1,-0.2143,-1.3889,99.88365
"C13 H19 O12 N1",380.0838037,"N1 O12","CHON","Other",13,19,12,1,0,0,1.46,1.46,5,-0.3333,0.6154,42.7611
"C17 H19 O9 N1",380.0990322,"N1 O9","CHON","Lignin",17,19,9,1,0,0,1.12,1.12,9,0.3043,0.1176,56.9484
"C14 H24 O9 N1 P1",380.1120626,"N1 P1 O9","CHONP","Amino Sugar",14,24,9,1,0,1,1.71,1.71,4,-0.3333,-0.2143,66.40755
"C14 H23 O11 N1",380.1201891,"N1 O11","CHON","Carbohydrate",14,23,11,1,0,0,1.64,1.64,4,-0.3333,0.1429,56.22735
"C18 H23 O8 N1",380.1354097,"N1 O8","CHON","Lignin",18,23,8,1,0,0,1.28,1.28,8,0.2308,-0.2222,66.6327
"C15 H28 O8 N1 P1",380.1484597,"N1 P1 O8","CHONP","Protein",15,28,8,1,0,1,1.87,1.87,3,-0.3333,-0.6,77.4
"C15 H27 O10 N1",380.1565553,"N1 O10","CHON","Amino Sugar",15,27,10,1,0,0,1.8,1.8,3,-0.3333,-0.2667,67.90095
"C19 H27 O7 N1",380.1717448,"N1 O7","CHON","Lignin",19,27,7,1,0,0,1.42,1.42,7,0.1724,-0.5263,75.29955
"C18 H27 O6 N3",380.1829881,"N3 O6","CHON","Protein",18,27,6,3,0,0,1.5,1.5,7,0.0833,-0.3333,69.79905
"C16 H32 O7 N1 P1",380.1848324,"N1 P1 O7","CHONP","Protein",16,32,7,1,0,1,2,2,2,-0.3333,-0.9375,87.01875
"C16 H31 O9 N1",380.1929517,"N1 O9","CHON","Other",16,31,9,1,0,0,1.94,1.94,2,-0.3333,-0.625,78.1125
"C16 H14 O11",381.046613,"O11","CHO","Tannin",16,14,11,0,0,0,0.88,0.88,10,0.4286,0.5,46.05
"C17 H19 O8 P1",381.0749319,"P1 O8","CHOP","Lignin",17,19,8,0,0,1,1.12,1.12,9,0.3333,-0.1765,65.33025
"C17 H18 O10",381.0830223,"O10","CHO","Lignin",17,18,10,0,0,0,1.06,1.06,9,0.3333,0.1176,56.9484
"C28 H14 O2",381.0922139,"O2","CHO","Other",28,14,2,0,0,0,0.5,0.5,22,0.7778,-0.3571,70.47735
"C16 H18 O9 N2",381.0942193,"N2 O9","CHON","Lignin",16,18,9,2,0,0,1.12,1.12,9,0.2632,0.375,49.6125
"C14 H23 O10 P1",381.0960907,"P1 O10","CHOP","Carbohydrate",14,23,10,0,0,1,1.64,1.64,4,-0.25,-0.2143,66.40755
"C21 H18 O7",381.0981657,"O7","CHO","Lignin",21,18,7,0,0,0,0.86,0.86,13,0.5429,-0.1905,65.72925
"C13 H22 O11 N2",381.115402,"N2 O11","CHON","Carbohydrate",13,22,11,2,0,0,1.69,1.69,4,-0.6364,0.4615,47.14725
"C18 H22 O9",381.1194045,"O9","CHO","Lignin",18,22,9,0,0,0,1.22,1.22,8,0.2593,-0.2222,66.6327
"C17 H22 O8 N2",381.1306727,"N2 O8","CHON","Lignin",17,22,8,2,0,0,1.29,1.29,8,0.1818,0,60.3
"C15 H27 O9 P1",381.1324676,"P1 O9","CHOP","Amino Sugar",15,27,9,0,0,1,1.8,1.8,3,-0.2632,-0.6,77.4
"C22 H22 O6",381.1346613,"O6","CHO","Other",22,22,6,0,0,0,1,1,12,0.4737,-0.4545,73.25325
"C14 H27 O8 N2 P1",381.1436712,"N2 P1 O8","CHONP","Other",14,27,8,2,0,1,1.93,1.93,3,-0.5714,-0.3571,70.47735
"C19 H26 O8",381.1557879,"O8","CHO","Lignin",19,26,8,0,0,0,1.37,1.37,7,0.2,-0.5263,75.29955
"C16 H31 O8 P1",381.1688527,"P1 O8","CHOP","Protein",16,31,8,0,0,1,1.94,1.94,2,-0.2727,-0.9375,87.01875
"C15 H30 O9 N2",381.1882067,"N2 O9","CHON","Other",15,30,9,2,0,0,2,2,2,-0.5294,-0.4,71.7
"C20 H30 O7",381.1921797,"O7","CHO","Protein",20,30,7,0,0,0,1.5,1.5,6,0.1515,-0.8,83.1
"C17 H35 O7 P1",381.205229,"P1 O7","CHOP","Other",17,35,7,0,0,1,2.06,2.06,1,-0.28,-1.2353,95.50605
"C21 H34 O6",381.2285519,"O6","CHO","Lipid",21,34,6,0,0,0,1.62,1.62,5,0.1111,-1.0476,90.1566
"C18 H38 O6 S1",381.231933,"S1 O6","CHOS","Other",18,38,6,0,1,0,2.11,2.11,0,-0.2857,-1.3333,98.29905
"C22 H38 O5",381.2649477,"O5","CHO","Lipid",22,38,5,0,0,0,1.73,1.73,4,0.0769,-1.2727,96.57195
"C16 H17 O10 N1",382.078271,"N1 O10","CHON","Lignin",16,17,10,1,0,0,1.06,1.06,9,0.3,0.375,49.6125
"C13 H22 O10 N1 P1",382.0913082,"N1 P1 O10","CHONP","Carbohydrate",13,22,10,1,0,1,1.69,1.69,4,-0.5,0.0769,58.10835
"C17 H21 O9 N1",382.1146547,"N1 O9","CHON","Lignin",17,21,9,1,0,0,1.24,1.24,8,0.2174,0,60.3
"C14 H26 O9 N1 P1",382.1277086,"N1 P1 O9","CHONP","Other",14,26,9,1,0,1,1.86,1.86,3,-0.4667,-0.3571,70.47735
"C14 H25 O11 N1",382.1358253,"N1 O11","CHON","Carbohydrate",14,25,11,1,0,0,1.79,1.79,3,-0.4667,0,60.3
"C18 H25 O8 N1",382.1510391,"N1 O8","CHON","Lignin",18,25,8,1,0,0,1.39,1.39,7,0.1538,-0.3333,69.79905
"C17 H25 O7 N3",382.1622367,"N3 O7","CHON","Protein",17,25,7,3,0,0,1.47,1.47,7,0.0476,-0.1176,63.6516
"C15 H30 O8 N1 P1",382.1641018,"N1 P1 O8","CHONP","Protein",15,30,8,1,0,1,2,2,2,-0.4444,-0.7333,81.19905
"C15 H29 O10 N1",382.1721963,"N1 O10","CHON","Other",15,29,10,1,0,0,1.93,1.93,2,-0.4444,-0.4,71.7
"C19 H29 O7 N1",382.1874245,"N1 O7","CHON","Protein",19,29,7,1,0,0,1.53,1.53,6,0.1034,-0.6316,78.3006
"C16 H33 O9 N1",382.2085872,"N1 O9","CHON","Other",16,33,9,1,0,0,2.06,2.06,1,-0.4286,-0.75,81.675
"C11 H13 O11 P1 S1",382.9847794,"S1 P1 O11","CHO","Tannin",11,13,11,0,1,1,1.18,1.18,6,-0.4286,1,31.8
"C16 H17 O9 P1",383.0541898,"P1 O9","CHOP","Lignin",16,17,9,0,0,1,1.06,1.06,9,0.3333,0.0625,58.51875
"C16 H16 O11",383.062288,"O11","CHO","Tannin",16,16,11,0,0,0,1,1,9,0.3333,0.375,49.6125
"C27 H12 O3",383.071841,"O3","CHO","Other",27,12,3,0,0,0,0.44,0.44,22,0.8039,-0.2222,66.6327
"C20 H16 O8",383.0775008,"O8","CHO","Cond Hydrocarbon",20,16,8,0,0,0,0.8,0.8,13,0.5625,0,60.3
"C17 H20 O8 S1",383.0809018,"S1 O8","CHOS","Lignin",17,20,8,0,1,0,1.18,1.18,8,0.25,-0.1176,63.6516
"C17 H21 O8 P1",383.0905911,"P1 O8","CHOP","Lignin",17,21,8,0,0,1,1.24,1.24,8,0.25,-0.2941,68.68185
"C17 H20 O10",383.0986636,"O10","CHO","Lignin",17,20,10,0,0,0,1.18,1.18,8,0.25,0,60.3
"C16 H20 O9 N2",383.1099039,"N2 O9","CHON","Lignin",16,20,9,2,0,0,1.25,1.25,8,0.1579,0.25,53.175
"C14 H25 O10 P1",383.1117196,"P1 O10","CHOP","Carbohydrate",14,25,10,0,0,1,1.79,1.79,3,-0.375,-0.3571,70.47735
"C21 H20 O7",383.1139304,"O7","CHO","Lignin",21,20,7,0,0,0,0.95,0.95,12,0.4857,-0.2857,68.44245
"C14 H29 O4 N2 P1 S2",383.1236827,"N2 S2 P1 O4","CHO","Lipid",14,29,4,2,2,1,2.07,2.07,2,-0.7143,-0.7857,82.69245
"C18 H25 O7 P1",383.1269753,"P1 O7","CHOP","Lignin",18,25,7,0,0,1,1.39,1.39,7,0.1852,-0.6111,77.71635
"C13 H24 O11 N2",383.1310783,"N2 O11","CHON","Carbohydrate",13,24,11,2,0,0,1.85,1.85,3,-0.8182,0.3077,51.53055
"C18 H24 O9",383.1350564,"O9","CHO","Lignin",18,24,9,0,0,0,1.33,1.33,7,0.1852,-0.3333,69.79905
"C15 H29 O9 P1",383.1481167,"P1 O9","CHOP","Other",15,29,9,0,0,1,1.93,1.93,2,-0.3684,-0.7333,81.19905
"C22 H24 O6",383.1503148,"O6","CHO","Other",22,24,6,0,0,0,1.09,1.09,11,0.4211,-0.5455,75.84675
"C19 H29 O6 P1",383.1633606,"P1 O6","CHOP","Protein",19,29,6,0,0,1,1.53,1.53,6,0.1333,-0.8947,85.79895
"C19 H28 O8",383.1714418,"O8","CHO","Protein",19,28,8,0,0,0,1.47,1.47,6,0.1333,-0.6316,78.3006
"C20 H32 O3 S2",383.1724657,"S2 O3","CHOS","Lipid",20,32,3,0,2,0,1.6,1.6,5,0.0909,-1.1,91.65
"C16 H33 O8 P1",383.1845095,"P1 O8","CHOP","Other",16,33,8,0,0,1,2.06,2.06,1,-0.3636,-1.0625,90.58125
"C16 H32 O10",383.1925769,"O10","CHO","Other",16,32,10,0,0,0,2,2,1,-0.3636,-0.75,81.675
"C20 H32 O7",383.2078314,"O7","CHO","Protein",20,32,7,0,0,0,1.6,1.6,5,0.0909,-0.9,85.95
"C17 H37 O7 P1",383.2208828,"P1 O7","CHOP","Other",17,37,7,0,0,1,2.18,2.18,0,-0.36,-1.3529,98.85765
"C24 H32 O4",383.2231185,"O4","CHO","Other",24,32,4,0,0,0,1.33,1.33,9,0.3182,-1,88.8
"C21 H36 O6",383.2442105,"O6","CHO","Lipid",21,36,6,0,0,0,1.71,1.71,4,0.0556,-1.1429,92.87265
"C22 H40 O5",383.2805789,"O5","CHO","Lipid",22,40,5,0,0,0,1.82,1.82,3,0.0256,-1.3636,99.1626
"C23 H44 O4",383.3169857,"O4","CHO","Lipid",23,44,4,0,0,0,1.91,1.91,2,0,-1.5652,104.9082
"C24 H48 O3",383.353354,"O3","CHO","Lipid",24,48,3,0,0,0,2,2,1,-0.0222,-1.75,110.175
"C16 H19 O10 N1",384.0939473,"N1 O10","CHON","Lignin",16,19,10,1,0,0,1.19,1.19,8,0.2,0.25,53.175
"C13 H24 O10 N1 P1",384.1069856,"N1 P1 O10","CHONP","Carbohydrate",13,24,10,1,0,1,1.85,1.85,3,-0.6667,-0.0769,62.49165
"C17 H23 O9 N1",384.1303349,"N1 O9","CHON","Lignin",17,23,9,1,0,0,1.35,1.35,7,0.1304,-0.1176,63.6516
"C14 H28 O9 N1 P1",384.1433806,"N1 P1 O9","CHONP","Other",14,28,9,1,0,1,2,2,2,-0.6,-0.5,74.55
"C22 H27 O1 N1 S2",384.1465535,"N1 S2 O1","CHONS","Other",22,27,1,1,2,0,1.23,1.23,10,0.3514,-0.8182,83.6187
"C14 H27 O11 N1",384.1514797,"N1 O11","CHON","Carbohydrate",14,27,11,1,0,0,1.93,1.93,2,-0.6,-0.1429,64.37265
"C18 H27 O8 N1",384.1667252,"N1 O8","CHON","Protein",18,27,8,1,0,0,1.5,1.5,6,0.0769,-0.4444,72.9654
"C17 H27 O7 N3",384.1779064,"N3 O7","CHON","Protein",17,27,7,3,0,0,1.59,1.59,6,-0.0476,-0.2353,67.00605
"C15 H32 O8 N1 P1",384.1797288,"N1 P1 O8","CHONP","Other",15,32,8,1,0,1,2.13,2.13,1,-0.5556,-0.8667,85.00095
"C15 H31 O10 N1",384.1878618,"N1 O10","CHON","Other",15,31,10,1,0,0,2.07,2.07,1,-0.5556,-0.5333,75.49905
"C19 H31 O7 N1",384.2030481,"N1 O7","CHON","Protein",19,31,7,1,0,0,1.63,1.63,5,0.0345,-0.7368,81.2988
"C23 H31 O4 N1",384.2183667,"N1 O4","CHON","Other",23,31,4,1,0,0,1.35,1.35,9,0.3,-0.8696,85.0836
"C19 H14 O9",385.0568409,"O9","CHO","Cond Hydrocarbon",19,14,9,0,0,0,0.74,0.74,13,0.5862,0.2105,54.30075
"C16 H19 O9 P1",385.0698639,"P1 O9","CHOP","Lignin",16,19,9,0,0,1,1.19,1.19,8,0.2381,-0.0625,62.08125
"C16 H18 O11",385.0779388,"O11","CHO","Tannin",16,18,11,0,0,0,1.12,1.12,8,0.2381,0.25,53.175
"C20 H18 O8",385.0931943,"O8","CHO","Lignin",20,18,8,0,0,0,0.9,0.9,12,0.5,-0.1,63.15
"C17 H23 O8 P1",385.1062554,"P1 O8","CHOP","Lignin",17,23,8,0,0,1,1.35,1.35,7,0.1667,-0.4118,72.0363
"C17 H22 O10",385.1143274,"O10","CHO","Lignin",17,22,10,0,0,0,1.29,1.29,7,0.1667,-0.1176,63.6516
"C14 H27 O10 P1",385.1273868,"P1 O10","CHOP","Carbohydrate",14,27,10,0,0,1,1.93,1.93,2,-0.5,-0.5,74.55
"C21 H22 O7",385.1295763,"O7","CHO","Lignin",21,22,7,0,0,0,1.05,1.05,11,0.4286,-0.381,71.1585
"C18 H26 O7 S1",385.1328846,"S1 O7","CHOS","Lignin",18,26,7,0,1,0,1.44,1.44,6,0.1111,-0.5556,76.1346
"C18 H27 O7 P1",385.142634,"P1 O7","CHOP","Protein",18,27,7,0,0,1,1.5,1.5,6,0.1111,-0.7222,80.8827
"C18 H26 O9",385.1507077,"O9","CHO","Lignin",18,26,9,0,0,0,1.44,1.44,6,0.1111,-0.4444,72.9654
"C15 H31 O9 P1",385.1637686,"P1 O9","CHOP","Other",15,31,9,0,0,1,2.07,2.07,1,-0.4737,-0.8667,85.00095
"C22 H26 O6",385.1659483,"O6","CHO","Other",22,26,6,0,0,0,1.18,1.18,10,0.3684,-0.6364,78.4374
"C19 H31 O6 P1",385.1790264,"P1 O6","CHOP","Protein",19,31,6,0,0,1,1.63,1.63,5,0.0667,-1,88.8
"C19 H30 O8",385.1870946,"O8","CHO","Protein",19,30,8,0,0,0,1.58,1.58,5,0.0667,-0.7368,81.2988
"C16 H35 O8 P1",385.2001459,"P1 O8","CHOP","Other",16,35,8,0,0,1,2.19,2.19,0,-0.4545,-1.1875,94.14375
"C23 H30 O5",385.2023459,"O5","CHO","Other",23,30,5,0,0,0,1.3,1.3,9,0.3171,-0.8696,85.0836
"C20 H35 O5 P1",385.2153519,"P1 O5","CHOP","Lipid",20,35,5,0,0,1,1.75,1.75,4,0.0303,-1.25,95.925
"C20 H34 O7",385.2234795,"O7","CHO","Protein",20,34,7,0,0,0,1.7,1.7,4,0.0303,-1,88.8
"C21 H38 O6",385.2598639,"O6","CHO","Lipid",21,38,6,0,0,0,1.81,1.81,3,0,-1.2381,95.58585
"C22 H42 O5",385.2962398,"O5","CHO","Lipid",22,42,5,0,0,0,1.91,1.91,2,-0.0256,-1.4545,101.75325
"C15 H17 O11 N1",386.0732054,"N1 O11","CHON","Tannin",15,17,11,1,0,0,1.13,1.13,8,0.1765,0.5333,45.10095
"C19 H17 O8 N1",386.0884602,"N1 O8","CHON","Lignin",19,17,8,1,0,0,0.89,0.89,12,0.5,0.1053,57.29895
"C16 H21 O10 N1",386.1095856,"N1 O10","CHON","Lignin",16,21,10,1,0,0,1.31,1.31,7,0.1,0.125,56.7375
"C15 H22 O7 N3 P1",386.1126976,"N3 P1 O7","CHONP","Protein",15,22,7,3,0,1,1.47,1.47,7,-0.0667,0.0667,58.39905
"C13 H26 O10 N1 P1",386.1226359,"N1 P1 O10","CHONP","Carbohydrate",13,26,10,1,0,1,2,2,2,-0.8333,-0.2308,66.8778
