"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C25 H16 O10",0,1
"C18 H20 O15",0,1
"C26 H20 O7 S1",0,1
"C15 H25 O15 P1",0,1
"C19 H24 O12 S1",0,1
"C21 H20 O11 N2",0,1
"C19 H24 O14",0,1
"C27 H25 O4 P1 S1",0,1
"C20 H28 O11 S1",0,1
"C22 H24 O10 N2",0,1
"C17 H33 O13 P1",0,1
"C21 H32 O10 S1",0,1
"C18 H37 O12 P1",0,1
"C20 H15 O13 N1",0,1
"C25 H20 O3 N1 P1 S2",0,1
"C21 H19 O12 N1",0,1
"C26 H24 O2 N1 P1 S2",0,1
"C24 H31 O9 N1",0,1
"C20 H14 O14",0,1
"C24 H14 O11",0,1
"C21 H18 O11 S1",0,1
"C25 H19 O6 P1 S1",0,1
"C25 H18 O8 S1",0,1
"C14 H23 O16 P1",0,1
"C20 H18 O12 N2",0,1
"C25 H18 O10",0,1
"C22 H22 O10 S1",0,1
"C26 H23 O5 P1 S1",0,1
"C19 H26 O12 S1",0,1
"C21 H22 O11 N2",0,1
"C26 H22 O9",0,1
"C19 H26 O14",0,1
"C20 H30 O11 S1",0,1
"C22 H26 O10 N2",0,1
"C20 H30 O13",0,1
"C22 H38 O11",0,1
"C24 H18 O4 N1 P1 S2",0,1
"C20 H17 O13 N1",0,1
"C25 H22 O3 N1 P1 S2",0,1
"C21 H21 O12 N1",0,1
"C24 H33 O9 N1",0,1
"C23 H12 O12",0,1
"C20 H16 O12 S1",0,1
"C20 H16 O14",0,1
"C24 H16 O11",0,1
"C21 H20 O11 S1",0,1
"C25 H21 O6 P1 S1",0,1
"C20 H20 O12 N2",0,1
"C25 H20 O10",0,1
"C22 H24 O10 S1",0,1
"C26 H25 O5 P1 S1",0,1
"C21 H24 O11 N2",0,1
"C26 H24 O9",0,1
"C23 H28 O9 S1",0,1
"C27 H28 O8",0,1
"C21 H36 O12",0,1
"C24 H20 O4 N1 P1 S2",0,1
"C23 H15 O11 N1",0,1
"C20 H19 O13 N1",0,1
"C25 H24 O3 N1 P1 S2",0,1
"C24 H19 O10 N1",0,1
"C26 H28 O2 N1 P1 S2",0,1
"C24 H35 O9 N1",0,1
"C19 H14 O15",0,1
"C23 H14 O12",0,1
"C20 H18 O12 S1",0,1
"C24 H19 O7 P1 S1",0,1
"C20 H19 O12 P1",0,1
"C24 H18 O11",0,1
"C21 H22 O11 S1",0,1
"C25 H23 O6 P1 S1",0,1
"C20 H22 O12 N2",0,1
"C22 H26 O10 S1",0,1
"C23 H30 O9 S1",0,1
"C28 H34 O7",0,1
"C25 H39 O7 P1",0,1
"C23 H17 O11 N1",0,1
"C28 H22 O1 N1 P1 S2",0,1
"C24 H21 O10 N1",0,1
"C27 H34 O3 N1 P1 S1",0,1
"C35 H33 O1 N1",0,1
"C22 H12 O13",0,1
"C19 H16 O13 S1",0,1
"C19 H16 O15",0,1
"C27 H16 O7 S1",0,1
"C16 H21 O15 P1",0,1
"C23 H16 O12",0,1
"C20 H20 O12 S1",0,1
"C20 H21 O12 P1",0,1
"C21 H24 O11 S1",0,1
"C25 H25 O6 P1 S1",0,1
"C22 H28 O10 S1",0,1
"C19 H33 O12 P1",0,1
"C27 H32 O8",0,1
"C28 H36 O7",0,1
"C22 H15 O12 N1",0,1
"C27 H20 O2 N1 P1 S2",0,1
"C19 H19 O14 N1",0,1
"C23 H19 O11 N1",0,1
"C24 H23 O10 N1",0,1
"C26 H14 O8 S1",0,1
"C15 H19 O16 P1",0,1
"C19 H18 O13 S1",0,1
"C19 H19 O13 P1",0,1
"C19 H18 O15",0,1
"C23 H18 O12",0,1
"C20 H22 O12 S1",0,1
"C21 H26 O11 S1",0,1
"C22 H30 O10 S1",0,1
"C18 H30 O15",0,1
"C22 H30 O12",0,1
"C23 H34 O9 S1",0,1
"C28 H38 O7",0,1
"C26 H18 O3 N1 P1 S2",0,1
"C23 H22 O5 N1 P1 S2",0,1
"C22 H17 O12 N1",0,1
"C27 H22 O2 N1 P1 S2",0,1
"C24 H26 O4 N1 P1 S2",0,1
"C23 H21 O11 N1",0,1
"C28 H26 O1 N1 P1 S2",0,1
"C24 H25 O10 N1",0,1
"C26 H34 O2 N1 P1 S2",0,1
"C21 H12 O14",0,1
"C22 H16 O11 S1",0,1
"C26 H16 O8 S1",0,1
"C15 H21 O16 P1",0,1
"C22 H16 O13",0,1
"C19 H20 O13 S1",0,1
"C19 H21 O13 P1",0,1
"C19 H20 O15",0,1
"C27 H20 O7 S1",0,1
"C16 H25 O15 P1",0,1
"C20 H24 O12 S1",0,1
"C22 H20 O11 N2",0,1
"C21 H28 O11 S1",0,1
"C22 H32 O10 S1",0,1
"C21 H15 O13 N1",0,1
"C26 H20 O3 N1 P1 S2",0,1
"C23 H24 O5 N1 P1 S2",0,1
"C22 H19 O12 N1",0,1
"C27 H24 O2 N1 P1 S2",0,1
"C24 H28 O4 N1 P1 S2",0,1
"C23 H23 O11 N1",0,1
"C28 H28 O1 N1 P1 S2",0,1
"C25 H32 O3 N1 P1 S2",0,1
"C26 H36 O2 N1 P1 S2",0,1
"C21 H14 O14",0,1
"C25 H14 O11",0,1
"C26 H18 O8 S1",0,1
"C15 H23 O16 P1",0,1
"C19 H22 O15",0,1
"C27 H22 O7 S1",0,1
"C16 H27 O15 P1",0,1
"C22 H22 O11 N2",0,1
"C20 H26 O14",0,1
"C21 H30 O11 S1",0,1
"C26 H35 O7 P1",0,1
"C28 H42 O7",0,1
"C21 H17 O13 N1",0,1
"C26 H22 O3 N1 P1 S2",0,1
"C22 H21 O12 N1",0,1
"C25 H33 O9 N1",0,1
"C24 H12 O12",0,1
"C21 H16 O12 S1",0,1
"C25 H16 O9 S1",0,1
"C21 H16 O14",0,1
"C25 H16 O11",0,1
"C22 H20 O11 S1",0,1
"C26 H20 O8 S1",0,1
"C15 H25 O16 P1",0,1
"C21 H20 O12 N2",0,1
"C26 H20 O10",0,1
"C22 H24 O11 N2",0,1
"C27 H24 O9",0,1
"C20 H28 O14",0,1
"C26 H37 O7 P1",0,1
"C29 H49 O4 P1",0,1
"C25 H20 O4 N1 P1 S2",0,1
"C21 H19 O13 N1",0,1
"C26 H24 O3 N1 P1 S2",0,1
"C25 H35 O9 N1",0,1
"C20 H14 O15",0,1
"C24 H14 O12",0,1
"C21 H18 O12 S1",0,1
"C25 H19 O7 P1 S1",0,1
"C21 H18 O14",0,1
"C25 H18 O11",0,1
"C26 H23 O6 P1 S1",0,1
"C21 H22 O12 N2",0,1
"C26 H22 O10",0,1
"C27 H27 O5 P1 S1",0,1
"C22 H26 O11 N2",0,1
"C28 H30 O8",0,1
"C21 H34 O13",0,1
"C26 H39 O7 P1",0,1
"C25 H22 O4 N1 P1 S2",0,1
"C24 H17 O11 N1",0,1
"C29 H22 O1 N1 P1 S2",0,1
"C18 H26 O11 N1 P1 S1",0,1
"C21 H21 O13 N1",0,1
"C25 H37 O9 N1",0,1
"C23 H12 O13",0,1
"C20 H16 O13 S1",0,1
"C20 H16 O15",0,1
"C21 H20 O12 S1",0,1
"C23 H28 O10 S1",0,1
"C27 H29 O5 P1 S1",0,1
"C28 H32 O8",0,1
"C29 H36 O7",0,1
"C24 H20 O5 N1 P1 S2",0,1
"C23 H15 O12 N1",0,1
"C28 H20 O2 N1 P1 S2",0,1
"C20 H19 O14 N1",0,1
"C25 H24 O4 N1 P1 S2",0,1
"C17 H24 O14 N1 P1",0,1
"C24 H19 O11 N1",0,1
"C29 H24 O1 N1 P1 S2",0,1
"C27 H14 O8 S1",0,1
"C16 H19 O16 P1",0,1
"C20 H18 O13 S1",0,1
"C20 H18 O15",0,1
"C21 H22 O12 S1",0,1
"C25 H23 O7 P1 S1",0,1
"C29 H22 O6 S1",0,1
"C18 H27 O14 P1",0,1
"C22 H26 O11 S1",0,1
"C19 H31 O13 P1",0,1
"C23 H30 O10 S1",0,1
"C29 H38 O7",0,1
"C23 H17 O12 N1",0,1
"C20 H21 O14 N1",0,1
"C25 H26 O4 N1 P1 S2",0,1
"C24 H21 O11 N1",0,1
"C29 H26 O1 N1 P1 S2",0,1
"C22 H12 O14",0,1
"C19 H16 O16",0,1
"C27 H16 O8 S1",0,1
"C16 H21 O16 P1",0,1
"C23 H16 O13",0,1
"C20 H21 O13 P1",0,1
"C20 H20 O15",0,1
"C39 H16 O1",0,1
"C18 H28 O14 S1",0,1
"C22 H28 O11 S1",0,1
"C19 H33 O13 P1",0,1
"C22 H15 O13 N1",0,1
"C27 H20 O3 N1 P1 S2",0,1
"C24 H24 O5 N1 P1 S2",0,1
"C23 H19 O12 N1",0,1
"C28 H24 O2 N1 P1 S2",0,1
"C20 H23 O14 N1",0,1
"C25 H28 O4 N1 P1 S2",0,1
"C24 H23 O11 N1",0,1
"C29 H28 O1 N1 P1 S2",0,1
"C23 H23 O10 N3",0,1
"C26 H14 O9 S1",0,1
"C15 H19 O17 P1",0,1
"C22 H14 O14",0,1
"C19 H19 O14 P1",0,1
"C19 H18 O16",0,1
"C27 H18 O8 S1",0,1
"C16 H23 O16 P1",0,1
"C23 H18 O13",0,1
"C20 H22 O13 S1",0,1
"C20 H22 O15",0,1
"C21 H26 O12 S1",0,1
"C19 H35 O13 P1",0,1
"C23 H34 O10 S1",0,1
"C29 H42 O7",0,1
"C26 H18 O4 N1 P1 S2",0,1
"C22 H17 O13 N1",0,1
"C27 H22 O3 N1 P1 S2",0,1
"C24 H26 O5 N1 P1 S2",0,1
"C23 H21 O12 N1",0,1
"C28 H26 O2 N1 P1 S2",0,1
"C25 H30 O4 N1 P1 S2",0,1
"C24 H25 O11 N1",0,1
"C23 H25 O10 N3",0,1
"C26 H34 O3 N1 P1 S2",0,1
"C32 H25 O5 N1",0,1
"C27 H38 O2 N1 P1 S2",0,1
"C26 H16 O9 S1",0,1
"C15 H21 O17 P1",0,1
"C22 H16 O14",0,1
"C19 H21 O14 P1",0,1
"C26 H16 O11",0,1
"C19 H20 O16",0,1
"C20 H24 O15",0,1
"C21 H28 O14",0,1
"C22 H32 O11 S1",0,1
"C30 H48 O6",0,1
"C26 H20 O4 N1 P1 S2",0,1
"C22 H19 O13 N1",0,1
"C27 H24 O3 N1 P1 S2",0,1
"C23 H23 O12 N1",0,1
"C25 H31 O10 N1",0,1
"C21 H14 O13 S1",0,1
"C21 H14 O15",0,1
"C25 H14 O12",0,1
"C22 H18 O12 S1",0,1
"C26 H18 O9 S1",0,1
"C15 H23 O17 P1",0,1
"C22 H18 O14",0,1
"C19 H23 O14 P1",0,1
"C26 H18 O11",0,1
"C22 H22 O12 N2",0,1
"C27 H22 O10",0,1
"C20 H26 O15",0,1
"C28 H27 O5 P1 S1",0,1
"C23 H26 O11 N2",0,1
"C21 H30 O14",0,1
"C22 H34 O13",0,1
"C21 H17 O14 N1",0,1
"C26 H22 O4 N1 P1 S2",0,1
"C22 H21 O13 N1",0,1
"C27 H26 O3 N1 P1 S2",0,1
"C26 H37 O9 N1",0,1
"C24 H12 O13",0,1
"C21 H16 O13 S1",0,1
"C21 H16 O15",0,1
"C25 H16 O12",0,1
"C22 H20 O12 S1",0,1
"C26 H21 O7 P1 S1",0,1
"C26 H20 O11",0,1
"C27 H25 O6 P1 S1",0,1
"C28 H28 O9",0,1
"C21 H32 O14",0,1
"C21 H19 O14 N1",0,1
"C25 H19 O11 N1",0,1
"C22 H23 O13 N1",0,1
"C27 H28 O3 N1 P1 S2",0,1
"C20 H31 O14 N1",0,1
"C21 H18 O13 S1",0,1
"C21 H18 O15",0,1
"C25 H18 O12",0,1
"C22 H22 O12 S1",0,1
"C26 H23 O7 P1 S1",0,1
"C23 H26 O11 S1",0,1
"C27 H27 O6 P1 S1",0,1
"C29 H34 O8",0,1
"C23 H42 O12",0,1
"C13 H10 O15 N3 P1 S1",0,1
"C25 H22 O5 N1 P1 S2",0,1
"C24 H17 O12 N1",0,1
"C29 H22 O2 N1 P1 S2",0,1
"C18 H26 O12 N1 P1 S1",0,1
"C21 H21 O14 N1",0,1
"C25 H21 O11 N1",0,1
"C28 H34 O2 N1 P1 S2",0,1
"C25 H37 O10 N1",0,1
"C23 H12 O14",0,1
"C20 H16 O16",0,1
"C28 H16 O8 S1",0,1
"C17 H21 O16 P1",0,1
"C21 H20 O13 S1",0,1
"C21 H20 O15",0,1
"C22 H24 O12 S1",0,1
"C26 H25 O7 P1 S1",0,1
"C24 H32 O10 S1",0,1
"C39 H28 O1",0,1
"C21 H41 O6 N2 P1 S2",0,1
"C28 H20 O3 N1 P1 S2",0,1
"C25 H24 O5 N1 P1 S2",0,1
"C24 H19 O12 N1",0,1
"C29 H24 O2 N1 P1 S2",0,1
"C21 H23 O14 N1",0,1
"C26 H28 O4 N1 P1 S2",0,1
"C25 H23 O11 N1",0,1
"C30 H28 O1 N1 P1 S2",0,1
"C24 H23 O10 N3",0,1
"C20 H35 O14 N1",0,1
"C25 H39 O10 N1",0,1
"C20 H18 O16",0,1
"C28 H18 O8 S1",0,1
"C17 H23 O16 P1",0,1
"C24 H18 O13",0,1
"C21 H22 O13 S1",0,1
"C21 H22 O15",0,1
"C22 H26 O12 S1",0,1
"C30 H42 O7",0,1
"C27 H18 O4 N1 P1 S2",0,1
"C23 H17 O13 N1",0,1
"C28 H22 O3 N1 P1 S2",0,1
"C25 H26 O5 N1 P1 S2",0,1
"C24 H21 O12 N1",0,1
"C29 H26 O2 N1 P1 S2",0,1
"C26 H30 O4 N1 P1 S2",0,1
"C25 H25 O11 N1",0,1
"C28 H38 O2 N1 P1 S2",0,1
"C29 H42 O1 N1 P1 S2",0,1
"C27 H16 O9 S1",0,1
"C16 H21 O17 P1",0,1
"C23 H16 O14",0,1
"C20 H21 O14 P1",0,1
"C20 H20 O16",0,1
"C21 H24 O15",0,1
"C23 H32 O11 S1",0,1
"C27 H20 O4 N1 P1 S2",0,1
"C23 H19 O13 N1",0,1
"C28 H24 O3 N1 P1 S2",0,1
"C25 H28 O5 N1 P1 S2",0,1
"C26 H32 O4 N1 P1 S2",0,1
"C25 H27 O11 N1",0,1
"C27 H36 O3 N1 P1 S2",0,1
"C28 H40 O2 N1 P1 S2",0,1
"C22 H14 O15",0,1
"C26 H14 O12",0,1
"C27 H18 O9 S1",0,1
"C16 H23 O17 P1",0,1
"C23 H18 O14",0,1
"C27 H18 O11",0,1
"C20 H22 O16",0,1
"C21 H26 O15",0,1
"C29 H27 O5 P1 S1",0,1
"C22 H30 O14",0,1
"C26 H31 O9 P1",0,1
"C27 H35 O8 P1",0,1
"C28 H39 O7 P1",0,1
"C22 H17 O14 N1",0,1
"C27 H22 O4 N1 P1 S2",0,1
"C23 H21 O13 N1",0,1
"C28 H26 O3 N1 P1 S2",0,1
"C25 H30 O5 N1 P1 S2",0,1
"C23 H25 O11 N3",0,1
"C26 H33 O10 N1",0,1
"C28 H42 O2 N1 P1 S2",0,1
"C22 H16 O13 S1",0,1
"C22 H16 O15",0,1
"C26 H16 O12",0,1
"C23 H20 O12 S1",0,1
"C27 H20 O11",0,1
"C23 H24 O12 N2",0,1
"C21 H28 O15",0,1
"C22 H32 O14",0,1
"C23 H36 O13",0,1
"C24 H40 O12",0,1
"C29 H44 O8",0,1
"C26 H20 O5 N1 P1 S2",0,1
"C22 H19 O14 N1",0,1
"C27 H24 O4 N1 P1 S2",0,1
"C23 H23 O13 N1",0,1
"C28 H28 O3 N1 P1 S2",0,1
"C30 H36 O1 N1 P1 S2",0,1
"C26 H35 O10 N1",0,1
"C21 H14 O16",0,1
"C25 H14 O13",0,1
"C22 H18 O13 S1",0,1
"C22 H18 O15",0,1
"C26 H18 O12",0,1
"C23 H22 O12 S1",0,1
"C27 H22 O11",0,1
"C28 H27 O6 P1 S1",0,1
"C17 H31 O16 P1",0,1
"C28 H26 O10",0,1
"C29 H30 O9",0,1
"C26 H22 O5 N1 P1 S2",0,1
"C25 H17 O12 N1",0,1
"C22 H21 O14 N1",0,1
"C27 H26 O4 N1 P1 S2",0,1
"C28 H33 O7 N3",0,1
"C26 H37 O10 N1",0,1
"C21 H16 O16",0,1
"C22 H20 O13 S1",0,1
"C22 H20 O15",0,1
"C28 H29 O6 P1 S1",0,1
"C24 H44 O12",0,1
"C26 H24 O5 N1 P1 S2",0,1
"C25 H19 O12 N1",0,1
"C30 H24 O2 N1 P1 S2",0,1
"C27 H28 O4 N1 P1 S2",0,1
"C26 H23 O11 N1",0,1
"C22 H27 O12 N3",0,1
"C24 H14 O14",0,1
"C21 H18 O14 S1",0,1
"C21 H18 O16",0,1
"C22 H22 O15",0,1
"C20 H31 O14 P1",0,1
"C24 H30 O11 S1",0,1
"C21 H35 O13 P1",0,1
"C30 H38 O8",0,1
"C23 H42 O13",0,1
"C24 H17 O13 N1",0,1
"C29 H22 O3 N1 P1 S2",0,1
"C21 H21 O15 N1",0,1
"C26 H26 O5 N1 P1 S2",0,1
"C25 H21 O12 N1",0,1
"C30 H26 O2 N1 P1 S2",0,1
"C27 H30 O4 N1 P1 S2",0,1
"C26 H25 O11 N1",0,1
"C31 H30 O1 N1 P1 S2",0,1
"C20 H33 O15 N1",0,1
"C30 H42 O1 N1 P1 S2",0,1
"C28 H16 O9 S1",0,1
"C17 H21 O17 P1",0,1
"C21 H20 O16",0,1
"C33 H25 O1 N2 P1 S1",0,1
"C20 H33 O14 P1",0,1
"C30 H40 O8",0,1
"C28 H20 O4 N1 P1 S2",0,1
"C24 H19 O13 N1",0,1
"C29 H24 O3 N1 P1 S2",0,1
"C26 H28 O5 N1 P1 S2",0,1
"C25 H23 O12 N1",0,1
"C30 H28 O2 N1 P1 S2",0,1
"C27 H32 O4 N1 P1 S2",0,1
"C31 H32 O1 N1 P1 S2",0,1
"C28 H36 O3 N1 P1 S2",0,1
"C29 H40 O2 N1 P1 S2",0,1
"C30 H44 O1 N1 P1 S2",0,1
"C23 H14 O15",0,1
"C28 H18 O9 S1",0,1
"C17 H23 O17 P1",0,1
"C24 H18 O14",0,1
"C21 H22 O16",0,1
"C22 H26 O15",0,1
"C20 H35 O14 P1",0,1
"C33 H38 O4 S1",0,1
"C23 H17 O14 N1",0,1
"C28 H22 O4 N1 P1 S2",0,1
"C24 H21 O13 N1",0,1
"C29 H26 O3 N1 P1 S2",0,1
"C15 H33 O15 N1 S2",0,1
"C17 H30 O12 N3 P1 S1",0,1
"C30 H30 O2 N1 P1 S2",0,1
"C27 H34 O4 N1 P1 S2",0,1
"C26 H29 O11 N1",0,1
"C28 H38 O3 N1 P1 S2",0,1
"C20 H37 O15 N1",0,1
"C27 H16 O10 S1",0,1
"C16 H21 O18 P1",0,1
"C23 H16 O15",0,1
"C24 H20 O14",0,1
"C21 H25 O14 P1",0,1
"C21 H24 O16",0,1
"C22 H28 O15",0,1
"C20 H37 O14 P1",0,1
"C28 H37 O8 P1",0,1
"C27 H20 O5 N1 P1 S2",0,1
"C23 H19 O14 N1",0,1
"C28 H24 O4 N1 P1 S2",0,1
"C24 H23 O13 N1",0,1
"C26 H31 O11 N1",0,1
"C27 H35 O10 N1",0,1
"C22 H14 O16",0,1
"C26 H14 O13",0,1
"C23 H18 O13 S1",0,1
"C23 H18 O15",0,1
"C27 H18 O12",0,1
"C28 H22 O11",0,1
"C21 H26 O16",0,1
"C22 H30 O15",0,1
"C26 H31 O10 P1",0,1
"C23 H34 O14",0,1
"C24 H38 O13",0,1
"C27 H22 O5 N1 P1 S2",0,1
"C23 H21 O14 N1",0,1
"C28 H26 O4 N1 P1 S2",0,1
"C29 H30 O3 N1 P1 S2",0,1
"C26 H33 O11 N1",0,1
"C22 H16 O16",0,1
"C23 H20 O13 S1",0,1
"C23 H20 O15",0,1
"C27 H20 O12",0,1
"C23 H24 O13 N2",0,1
"C28 H24 O11",0,1
"C29 H28 O10",0,1
"C22 H32 O15",0,1
"C24 H40 O13",0,1
"C27 H24 O5 N1 P1 S2",0,1
"C23 H23 O14 N1",0,1
"C28 H28 O4 N1 P1 S2",0,1
"C22 H35 O14 N1",0,1
"C25 H14 O14",0,1
"C22 H18 O16",0,1
"C26 H18 O13",0,1
"C23 H22 O13 S1",0,1
"C23 H22 O15",0,1
"C27 H22 O12",0,1
"C17 H35 O11 N2 P1 S2",0,1
"C22 H35 O13 P1",0,1
"C19 H43 O9 N2 P1 S2",0,1
"C26 H22 O6 N1 P1 S2",0,1
"C30 H22 O3 N1 P1 S2",0,1
"C22 H21 O15 N1",0,1
"C27 H26 O5 N1 P1 S2",0,1
"C26 H21 O12 N1",0,1
"C31 H26 O2 N1 P1 S2",0,1
"C23 H25 O14 N1",0,1
"C28 H30 O4 N1 P1 S2",0,1
"C33 H33 O4 N1 S1",0,1
"C22 H37 O14 N1",0,1
"C22 H20 O16",0,1
"C26 H20 O13",0,1
"C33 H32 O7",0,1
"C30 H36 O9",0,1
"C24 H44 O13",0,1
"C26 H24 O6 N1 P1 S2",0,1
"C25 H19 O13 N1",0,1
"C30 H24 O3 N1 P1 S2",0,1
"C22 H23 O15 N1",0,1
"C27 H28 O5 N1 P1 S2",0,1
"C26 H23 O12 N1",0,1
"C31 H28 O2 N1 P1 S2",0,1
"C32 H32 O1 N1 P1 S2",0,1
"C22 H39 O14 N1",0,1
"C31 H44 O1 N1 P1 S2",0,1
"C24 H14 O15",0,1
"C21 H18 O17",0,1
"C29 H18 O9 S1",0,1
"C18 H23 O17 P1",0,1
"C25 H18 O14",0,1
"C22 H22 O16",0,1
"C26 H22 O13",0,1
"C23 H26 O15",0,1
"C20 H31 O15 P1",0,1
"C29 H22 O4 N1 P1 S2",0,1
"C25 H21 O13 N1",0,1
"C30 H26 O3 N1 P1 S2",0,1
"C22 H25 O15 N1",0,1
"C27 H30 O5 N1 P1 S2",0,1
"C26 H25 O12 N1",0,1
"C31 H30 O2 N1 P1 S2",0,1
"C28 H34 O4 N1 P1 S2",0,1
"C27 H29 O11 N1",0,1
"C32 H34 O1 N1 P1 S2",0,1
"C29 H38 O3 N1 P1 S2",0,1
"C30 H42 O2 N1 P1 S2",0,1
"C24 H16 O15",0,1
"C21 H20 O17",0,1
"C25 H20 O14",0,1
"C22 H25 O14 P1",0,1
"C22 H24 O16",0,1
"C23 H28 O15",0,1
"C20 H33 O15 P1",0,1
"C28 H20 O5 N1 P1 S2",0,1
"C24 H19 O14 N1",0,1
"C29 H24 O4 N1 P1 S2",0,1
"C25 H23 O13 N1",0,1
"C30 H28 O3 N1 P1 S2",0,1
"C26 H27 O12 N1",0,1
"C30 H44 O2 N1 P1 S2",0,1
"C23 H14 O16",0,1
"C28 H18 O10 S1",0,1
"C17 H23 O18 P1",0,1
"C24 H18 O15",0,1
"C28 H18 O12",0,1
"C21 H22 O17",0,1
"C25 H22 O14",0,1
"C22 H26 O16",0,1
"C33 H27 O2 N2 P1 S1",0,1
"C23 H30 O15",0,1
"C24 H34 O14",0,1
"C28 H22 O5 N1 P1 S2",0,1
"C24 H21 O14 N1",0,1
"C29 H26 O4 N1 P1 S2",0,1
"C25 H25 O13 N1",0,1
"C30 H30 O3 N1 P1 S2",0,1
"C26 H29 O12 N1",0,1
"C30 H46 O2 N1 P1 S2",0,1
"C23 H16 O16",0,1
"C27 H16 O13",0,1
"C24 H20 O13 S1",0,1
"C24 H20 O15",0,1
"C28 H20 O12",0,1
"C22 H28 O16",0,1
"C23 H32 O15",0,1
"C34 H28 O7",0,1
"C24 H36 O14",0,1
"C29 H41 O8 P1",0,1
"C30 H44 O9",0,1
"C28 H24 O5 N1 P1 S2",0,1
"C24 H23 O14 N1",0,1
"C29 H28 O4 N1 P1 S2",0,1
"C25 H27 O13 N1",0,1
"C30 H32 O3 N1 P1 S2",0,1
"C23 H35 O14 N1",0,1
"C26 H14 O14",0,1
"C23 H18 O16",0,1
"C27 H18 O13",0,1
"C24 H22 O15",0,1
"C28 H22 O12",0,1
"C22 H31 O14 P1",0,1
"C29 H26 O11",0,1
"C34 H30 O5 S1",0,1
"C30 H46 O9",0,1
"C19 H6 O15 N1 P1 S1",0,1
"C29 H13 O11 N1",0,1
"C27 H22 O6 N1 P1 S2",0,1
"C23 H21 O15 N1",0,1
"C28 H26 O5 N1 P1 S2",0,1
"C27 H37 O11 N1",0,1
"C26 H16 O14",0,1
"C23 H20 O14 S1",0,1
"C23 H20 O16",0,1
"C27 H20 O13",0,1
"C24 H24 O15",0,1
"C28 H24 O12",0,1
"C23 H37 O13 P1",0,1
"C30 H32 O10",0,1
"C20 H45 O9 N2 P1 S2",0,1
"C27 H24 O6 N1 P1 S2",0,1
"C23 H23 O15 N1",0,1
"C28 H28 O5 N1 P1 S2",0,1
"C27 H23 O12 N1",0,1
"C32 H44 O1 N1 P1 S2",0,1
"C31 H43 O6 N3",0,1
"C25 H14 O15",0,1
"C22 H18 O17",0,1
"C26 H18 O14",0,1
"C23 H22 O16",0,1
"C30 H22 O4 N1 P1 S2",0,1
"C27 H26 O6 N1 P1 S2",0,1
"C26 H21 O13 N1",0,1
"C31 H26 O3 N1 P1 S2",0,1
"C23 H25 O15 N1",0,1
"C28 H30 O5 N1 P1 S2",0,1
"C33 H34 O1 N1 P1 S2",0,1
"C22 H37 O15 N1",0,1
"C31 H42 O2 N1 P1 S2",0,1
"C34 H37 O4 N1 S1",0,1
"C27 H41 O11 N1",0,1
"C26 H53 O9 N1 S1",0,1
"C25 H16 O15",0,1
"C22 H20 O17",0,1
"C26 H20 O14",0,1
"C23 H24 O16",0,1
"C21 H33 O15 P1",0,1
"C31 H40 O9",0,1
"C25 H19 O14 N1",0,1
"C30 H24 O4 N1 P1 S2",0,1
"C26 H23 O13 N1",0,1
"C31 H28 O3 N1 P1 S2",0,1
"C28 H32 O5 N1 P1 S2",0,1
"C32 H32 O2 N1 P1 S2",0,1
"C29 H36 O4 N1 P1 S2",0,1
"C30 H40 O3 N1 P1 S2",0,1
"C22 H39 O15 N1",0,1
"C31 H44 O2 N1 P1 S2",0,1
"C24 H14 O16",0,1
"C29 H18 O10 S1",0,1
"C18 H23 O18 P1",0,1
"C25 H18 O15",0,1
"C26 H23 O10 P1 S1",0,1
"C22 H22 O17",0,1
"C26 H22 O14",0,1
"C23 H26 O16",0,1
"C24 H30 O15",0,1
"C23 H43 O13 P1",0,1
"C31 H42 O9",0,1
"C29 H22 O5 N1 P1 S2",0,1
"C25 H21 O14 N1",0,1
"C30 H26 O4 N1 P1 S2",0,1
"C26 H25 O13 N1",0,1
"C31 H30 O3 N1 P1 S2",0,1
"C32 H34 O2 N1 P1 S2",0,1
"C29 H38 O4 N1 P1 S2",0,1
"C22 H41 O15 N1",0,1
"C24 H16 O16",0,1
"C25 H20 O15",0,1
"C22 H24 O17",0,1
"C23 H28 O16",0,1
"C24 H32 O15",0,1
"C25 H36 O14",0,1
"C23 H45 O13 P1",0,1
"C31 H44 O9",0,1
"C29 H24 O5 N1 P1 S2",0,1
"C25 H23 O14 N1",0,1
"C30 H28 O4 N1 P1 S2",0,1
"C31 H32 O3 N1 P1 S2",0,1
"C27 H31 O12 N1",0,1
"C24 H18 O16",0,1
"C28 H18 O13",0,1
"C25 H22 O15",0,1
"C29 H22 O12",0,1
"C25 H38 O14",0,1
"C26 H42 O13",0,1
"C28 H22 O6 N1 P1 S2",0,1
"C24 H21 O15 N1",0,1
"C29 H26 O5 N1 P1 S2",0,1
"C16 H25 O19 N3",0,1
"C31 H21 O6 N3 S1",0,1
"C25 H25 O14 N1",0,1
"C30 H30 O4 N1 P1 S2",0,1
"C26 H29 O13 N1",0,1
"C27 H33 O12 N1",0,1
"C20 H41 O15 N3",0,1
"C23 H16 O17",0,1
"C27 H16 O14",0,1
"C24 H20 O16",0,1
"C28 H20 O13",0,1
"C29 H24 O12",0,1
"C34 H28 O6 S1",0,1
"C30 H28 O11",0,1
